Action space: 4
Episode 139 | Reward: 0.0 | Epsilon 0.947
Episode 140 | Reward: 3.0 | Epsilon 0.946
Episode 141 | Reward: 1.0 | Epsilon 0.946
Episode 142 | Reward: 0.0 | Epsilon 0.946
Episode 143 | Reward: 2.0 | Epsilon 0.945
Episode 144 | Reward: 1.0 | Epsilon 0.945
Episode 145 | Reward: 1.0 | Epsilon 0.945
Episode 146 | Reward: 1.0 | Epsilon 0.944
Episode 147 | Reward: 0.0 | Epsilon 0.944
Episode 148 | Reward: 2.0 | Epsilon 0.944
Episode 149 | Reward: 3.0 | Epsilon 0.943
Episode 150 | Reward: 0.0 | Epsilon 0.943
Episode 151 | Reward: 0.0 | Epsilon 0.943
Episode 152 | Reward: 2.0 | Epsilon 0.942
Episode 153 | Reward: 1.0 | Epsilon 0.942
Episode 154 | Reward: 0.0 | Epsilon 0.942
Episode 155 | Reward: 3.0 | Epsilon 0.941
Episode 156 | Reward: 3.0 | Epsilon 0.940
Episode 157 | Reward: 0.0 | Epsilon 0.940
Target updated at step 30000
Episode 158 | Reward: 2.0 | Epsilon 0.940
Episode 159 | Reward: 0.0 | Epsilon 0.940
Episode 160 | Reward: 1.0 | Epsilon 0.939
Episode 161 | Reward: 1.0 | Epsilon 0.939
Episode 162 | Reward: 1.0 | Epsilon 0.938
Episode 163 | Reward: 1.0 | Epsilon 0.938
Episode 164 | Reward: 0.0 | Epsilon 0.938
Episode 165 | Reward: 1.0 | Epsilon 0.937
Episode 166 | Reward: 3.0 | Epsilon 0.937
Episode 167 | Reward: 0.0 | Epsilon 0.937
Episode 168 | Reward: 5.0 | Epsilon 0.936
Episode 169 | Reward: 0.0 | Epsilon 0.936
Episode 170 | Reward: 0.0 | Epsilon 0.935
Episode 171 | Reward: 1.0 | Epsilon 0.935
Episode 172 | Reward: 0.0 | Epsilon 0.935
Episode 173 | Reward: 1.0 | Epsilon 0.934
Episode 174 | Reward: 0.0 | Epsilon 0.934
Episode 175 | Reward: 0.0 | Epsilon 0.934
Episode 176 | Reward: 2.0 | Epsilon 0.933
Episode 177 | Reward: 1.0 | Epsilon 0.933
Episode 178 | Reward: 2.0 | Epsilon 0.933
Episode 179 | Reward: 1.0 | Epsilon 0.932
Episode 180 | Reward: 2.0 | Epsilon 0.932
Episode 181 | Reward: 2.0 | Epsilon 0.931
Episode 182 | Reward: 2.0 | Epsilon 0.931
Episode 183 | Reward: 0.0 | Epsilon 0.931
Episode 184 | Reward: 1.0 | Epsilon 0.930
Target updated at step 35000
Episode 185 | Reward: 1.0 | Epsilon 0.930
Episode 186 | Reward: 3.0 | Epsilon 0.929
Episode 187 | Reward: 3.0 | Epsilon 0.929
Episode 188 | Reward: 0.0 | Epsilon 0.929
Episode 189 | Reward: 2.0 | Epsilon 0.928
Episode 190 | Reward: 2.0 | Epsilon 0.928
Episode 191 | Reward: 1.0 | Epsilon 0.927
Episode 192 | Reward: 2.0 | Epsilon 0.927
Episode 193 | Reward: 0.0 | Epsilon 0.927
Episode 194 | Reward: 0.0 | Epsilon 0.926
Episode 195 | Reward: 2.0 | Epsilon 0.926
Episode 196 | Reward: 1.0 | Epsilon 0.926
Episode 197 | Reward: 0.0 | Epsilon 0.925
