Action space: 4
Episode 320 | Reward: 2.0 | Epsilon 0.940
Episode 321 | Reward: 1.0 | Epsilon 0.940
Episode 322 | Reward: 0.0 | Epsilon 0.940
Target updated at step 60000
Episode 323 | Reward: 3.0 | Epsilon 0.940
Episode 324 | Reward: 2.0 | Epsilon 0.940
Episode 325 | Reward: 3.0 | Epsilon 0.939
Episode 326 | Reward: 3.0 | Epsilon 0.939
Episode 327 | Reward: 0.0 | Epsilon 0.939
Episode 328 | Reward: 1.0 | Epsilon 0.939
Episode 329 | Reward: 0.0 | Epsilon 0.939
Episode 330 | Reward: 1.0 | Epsilon 0.939
Episode 331 | Reward: 6.0 | Epsilon 0.938
Episode 332 | Reward: 1.0 | Epsilon 0.938
Episode 333 | Reward: 2.0 | Epsilon 0.938
Episode 334 | Reward: 0.0 | Epsilon 0.938
Episode 335 | Reward: 3.0 | Epsilon 0.937
Episode 336 | Reward: 1.0 | Epsilon 0.937
Episode 337 | Reward: 1.0 | Epsilon 0.937
Episode 338 | Reward: 0.0 | Epsilon 0.937
Episode 339 | Reward: 3.0 | Epsilon 0.937
Episode 340 | Reward: 1.0 | Epsilon 0.937
Episode 341 | Reward: 0.0 | Epsilon 0.936
Episode 342 | Reward: 0.0 | Epsilon 0.936
Episode 343 | Reward: 1.0 | Epsilon 0.936
Episode 344 | Reward: 2.0 | Epsilon 0.936
Episode 345 | Reward: 0.0 | Epsilon 0.936
Episode 346 | Reward: 1.0 | Epsilon 0.936
Episode 347 | Reward: 0.0 | Epsilon 0.935
Episode 348 | Reward: 0.0 | Epsilon 0.935
Episode 349 | Reward: 1.0 | Epsilon 0.935
Target updated at step 65000
Episode 350 | Reward: 1.0 | Epsilon 0.935
Episode 351 | Reward: 0.0 | Epsilon 0.935
Episode 352 | Reward: 3.0 | Epsilon 0.935
Episode 353 | Reward: 0.0 | Epsilon 0.934
Episode 354 | Reward: 2.0 | Epsilon 0.934
Episode 355 | Reward: 3.0 | Epsilon 0.934
Episode 356 | Reward: 8.0 | Epsilon 0.934
Episode 357 | Reward: 1.0 | Epsilon 0.933
Episode 358 | Reward: 1.0 | Epsilon 0.933
Episode 359 | Reward: 7.0 | Epsilon 0.933
Episode 360 | Reward: 1.0 | Epsilon 0.933
Episode 361 | Reward: 2.0 | Epsilon 0.933
Episode 362 | Reward: 0.0 | Epsilon 0.932
Episode 363 | Reward: 2.0 | Epsilon 0.932
Episode 364 | Reward: 1.0 | Epsilon 0.932
Episode 365 | Reward: 2.0 | Epsilon 0.932
Episode 366 | Reward: 2.0 | Epsilon 0.932
Episode 367 | Reward: 0.0 | Epsilon 0.931
Episode 368 | Reward: 1.0 | Epsilon 0.931
Episode 369 | Reward: 3.0 | Epsilon 0.931
Episode 370 | Reward: 0.0 | Epsilon 0.931
Episode 371 | Reward: 1.0 | Epsilon 0.931
Episode 372 | Reward: 1.0 | Epsilon 0.931
Episode 373 | Reward: 0.0 | Epsilon 0.930
Episode 374 | Reward: 1.0 | Epsilon 0.930
Target updated at step 70000
Episode 375 | Reward: 2.0 | Epsilon 0.930
Episode 376 | Reward: 4.0 | Epsilon 0.930
Episode 377 | Reward: 0.0 | Epsilon 0.930
Episode 378 | Reward: 1.0 | Epsilon 0.929
